Link	Class	Ingredients
http://www.bbc.co.uk/food/recipes/rose_lychee_and_69495	V	2 free-range eggs 50g/1¾oz caster sugar 1 tbsp raspberry liqueur ½ tbsp rose water ½ tsp agar-agar 250g/9oz mascarpone6 free-range eggs yolks only 140g/5oz caster sugar 50g/1¾oz plain flour 15g/½oz cornflour 500ml/18fl oz full-fat milk 25g/1oz butter chopped into 1cm/½in cubes 1 x 450g tin lychees drained and broken up300g/10½oz plain flour 150g/5½oz salted butter 120g/4oz icing sugar 4 free-range eggs 3 yolks only 1 whole beaten for eggwash 1 tsp rose water2 x 200g punnet raspberries 200g/7oz caster sugar(exactly the same weight as the raspberries)75g/2½oz ground almonds 75g/2½oz icing sugar 5g/ 1/8oz red food colouring 55g/2oz free-range egg whites 75g/2½oz caster sugar150g/5½oz blanched whole almonds 100g/3½oz caster sugar
http://www.bbc.co.uk/food/recipes/fruit_and_fudge_buns_26812	V	
http://www.bbc.co.uk/food/recipes/bologna_sum_up_salad_16484	N	
http://www.bbc.co.uk/food/recipes/sausagepatties_78333	N	3 sausages 1 lime juice only 1 handful fresh coriander chopped 50g/1¾oz plain flour to dust
http://www.bbc.co.uk/food/recipes/hearty_winter_mussels_45629	N	
http://www.bbc.co.uk/food/recipes/dover_sole_with_clams_50002	N	800g/1lb 12oz waxy potatoes as Desirée sliced into 7mm-thick rounds 1 large red onion sliced 1 large white Spanish onion sliced 3 garliccloves sliced 2 bay leaves 5 tbsp olive oil sea salt and pepper4 Dover sole filleted 160g/5⅔oz clams3 tbsp olive oil 2 garliccloves 1 slice of bread crusts removed cut into 1cm/½in cubes 20 blanched almonds 1 handful flatleaf parsleyleaves 200ml/7fl oz fish stock hot salt and pepper
http://www.bbc.co.uk/food/recipes/stuffedchickenbreast_79451	N	1 chicken breast 50g/1¾oz cheddar grated 50g/1¾oz butter softened 1 tbsp fresh chives chopped 4 rashers streaky bacon1 onion sliced 25g/1oz butter 1 tsp soft brown sugar 50ml/2fl oz red wine 50ml/2fl oz chick stock salt and freshly ground black pepper1 large potato peeled and grated 1 tbsp cornflour salt and freshly ground black pepper 25g/1oz unsalted butter
http://www.bbc.co.uk/food/recipes/thaigreencurry_67788	N	
http://www.bbc.co.uk/food/taco	N	
http://www.bbc.co.uk/food/recipes/christmas_roast_duck_83066	N	1.5kg/3lb 5oz potatoes peeled and thinly sliced 2 onions thinly sliced 500ml/18fl oz chicken stock 1 x 2kg/4lb 8oz whole duck giblets removed 1 clementine cut in half 1 cinnamonstick ½ tsp Chinese five-spice powder 75g/2½oz butter 1 head Savoy cabbage leaves shredded 50g/1¾oz dried cranberries sea salt and freshly ground black pepper
